;VON_ORT_NR;VON_ORT_TYP;NACH_ORT_NR;NACH_ORT_TYP;FGR;DAUER
104;82301;1;82401;1;1;60
105;82302;1;82202;1;1;180
106;82401;1;83001;1;1;120
107;82402;1;82302;1;1;60
108;82801;1;80201;1;1;60
109;82802;1;83102;1;1;180
110;82901;1;111111;1;1;120
111;82902;1;81202;1;1;60
112;83001;1;83101;1;1;60
113;83002;1;82402;1;1;60
114;83101;1;82801;1;1;180
115;83102;1;83002;1;1;60
116;90001;1;90201;1;1;120
117;90101;1;30401;1;1;180
118;90201;1;91501;1;1;60
119;90202;1;90002;1;1;180
120;90401;1;90201;1;1;60
121;90501;1;90401;1;1;60
122;90601;1;90501;1;1;60
123;90702;1;90202;1;1;60
124;90801;1;70001;1;1;120
125;90802;1;91502;1;1;60
126;91002;1;91702;1;1;60
127;91201;1;91301;1;1;60
128;91202;1;91702;1;1;60
129;91301;1;71001;1;1;60
130;91302;1;91202;1;1;60
131;91402;1;50502;1;1;60
132;91501;1;90801;1;1;60
133;91502;1;90202;1;1;60
134;91602;1;90702;1;1;60
135;91701;1;91201;1;1;60
136;91702;1;10402;1;1;60
137;91702;1;91602;1;1;120
138;100001;1;100101;1;1;60
139;100002;1;100202;1;1;60
140;100101;1;100111;1;1;40
141;100102;1;100002;1;1;60
142;100110;1;100102;1;1;60
143;100111;1;110501;1;1;20
144;100202;1;100402;1;1;120
145;100402;1;100702;1;1;60
146;100702;1;111002;1;1;60
147;100901;1;100001;1;1;120
148;110001;1;110402;1;1;120
149;110002;1;110202;1;1;60
150;110201;1;110001;1;1;60
151;110201;1;11000001;1;1;60
152;110202;1;70902;1;1;120
153;110202;1;71002;1;1;60
154;110401;1;110002;1;1;60
155;110402;1;100110;1;1;60
156;110501;1;110401;1;1;60
157;110701;1;100901;1;1;60
158;110801;1;110701;1;1;60
159;111002;1;71002;1;1;120
160;111111;1;82902;1;1;180
161;200011;1;81201;1;1;60
162;200012;1;80702;1;1;300
163;710101;1;70001;1;1;120
164;710101;1;70004;1;1;120
165;11000001;1;82902;1;1;240
166;333333;4;20001;1;1;180
167;6101;1;60801;1;2;120
168;6101;1;60901;1;2;60
169;10001;1;10301;1;2;120
170;10003;1;10301;1;2;120
171;10101;1;10301;1;2;120
172;10102;1;10202;1;2;120
173;10201;1;10101;1;2;120
174;10202;1;41302;1;2;120
175;10301;1;10401;1;2;60
176;10302;1;10002;1;2;120
177;10302;1;10102;1;2;120
178;10401;1;91701;1;2;120
179;10401;1;91802;1;2;120
180;10402;1;10302;1;2;60
181;20001;1;30911;1;2;60
182;20001;1;31101;1;2;60
183;20002;1;20102;1;2;60
184;20002;1;222222;4;2;15
185;20101;1;20001;1;2;60
186;20102;1;201112;1;2;0
187;20201;1;31101;1;2;120
188;20301;1;20201;1;2;60
